Title(BHK),Price,location,Carpet Area(sqft),Floor No.,Total Floors,Transaction,Furnishing,facing,overlooking,Bathroom,Balcony,Parking Spaces,Parking Type
4,29000000.0,gurgaon,1500,2,3,Resale,Semi-Furnished,North - East,"Garden/Park, Pool, Main Road",4,4,2,Open
2,4200000.0,kolkata,745,1,3,Resale,Furnished,North - East,Main Road,2,1,1,Covered
2,6400000.0,bangalore,805,9,15,Resale,Unfurnished,North,Garden/Park,2,1,1,Covered
2,17000000.0,thane,760,11,18,Resale,Semi-Furnished,East,Main Road,2,0,1,Open
3,21000000.0,new-delhi,1400,4,8,Resale,Semi-Furnished,North - East,"Garden/Park, Main Road",2,4,1,"Covered,"
3,15600000.0,new-delhi,1350,3,10,Resale,Semi-Furnished,East,"Garden/Park, Main Road",2,3,1,"Covered,"
2,5000000.0,surat,950,6,15,Resale,Unfurnished,South -West,"Garden/Park, Pool, Main Road",2,2,2,Covered
3,5740000.0,surat,980,5,13,Resale,Unfurnished,East,"Garden/Park, Main Road",3,1,2,Covered
3,17500000.0,new-delhi,1570,7,8,Resale,Unfurnished,North - West,"Garden/Park, Main Road",3,2,1,"Covered,"
3,23500000.0,new-delhi,1760,6,8,Resale,Semi-Furnished,North - East,"Garden/Park, Main Road",4,3,1,"Covered,"
4,89600000.00000001,gurgaon,4583,9,30,New Property,Unfurnished,North - East,Garden/Park,5,4,2,Covered
3,15600000.0,new-delhi,1350,3,10,Resale,Semi-Furnished,East,"Garden/Park, Main Road",2,3,1,"Covered,"
2,8630000.0,bangalore,1000,7,32,Resale,Unfurnished,East,Garden/Park,2,1,1,Covered
3,25000000.0,chennai,1831,18,19,Resale,Unfurnished,North,"Pool, Main Road",3,3,1,Open
2,3000000.0,new-delhi,400,2,3,Resale,Semi-Furnished,East,"Garden/Park, Main Road",1,1,1,Open
4,26800000.0,new-delhi,1950,8,10,Resale,Semi-Furnished,North - East,"Garden/Park, Main Road",3,4,1,"Covered,"
3,15700000.0,gurgaon,1600,3,10,New Property,Semi-Furnished,East,"Garden/Park, Main Road",4,2,1,"Covered,"
3,45000000.0,new-delhi,1800,1,4,Resale,Semi-Furnished,East,Garden/Park,4,4,2,Covered
3,6000000.0,new-delhi,900,3,4,Resale,Semi-Furnished,North - West,Garden/Park,2,2,1,Covered
3,21000000.0,new-delhi,1400,4,8,Resale,Semi-Furnished,North - East,"Garden/Park, Main Road",2,4,1,"Covered,"
3,15600000.0,new-delhi,1350,3,10,Resale,Semi-Furnished,East,"Garden/Park, Main Road",2,3,1,"Covered,"
5,43500000.0,gurgaon,3000,1,4,Resale,Semi-Furnished,North - West,"Garden/Park, Main Road",4,4,3,Covered
3,21000000.0,new-delhi,1400,4,8,Resale,Semi-Furnished,North - East,"Garden/Park, Main Road",2,4,1,"Covered,"
2,5490000.0,greater-noida,580,6,25,New Property,Unfurnished,East,"Garden/Park, Pool, Main Road",2,3,1,"Covered,"
4,26800000.0,new-delhi,1950,8,10,Resale,Semi-Furnished,North - East,"Garden/Park, Main Road",3,4,1,"Covered,"
3,15800000.0,new-delhi,1300,5,7,Resale,Semi-Furnished,East,Garden/Park,2,2,1,"Covered,"
2,4000000.0,kolkata,875,4,6,Resale,Unfurnished,South - East,Garden/Park,2,1,1,Open
2,5300000.0,pune,737,10,14,Resale,Semi-Furnished,East,"Garden/Park, Pool",2,3,1,Open
2,6809999.999999999,hyderabad,233,2,5,New Property,Unfurnished,West,Main Road,2,2,1,Covered
3,10500000.0,faridabad,1850,1,4,New Property,Semi-Furnished,East,Main Road,3,2,1,"Covered,"
3,15700000.0,gurgaon,1600,3,10,New Property,Semi-Furnished,East,"Garden/Park, Main Road",4,2,1,"Covered,"
3,15000000.0,pune,1150,8,16,New Property,Unfurnished,East,Main Road,3,2,1,Covered
2,2300000.0,new-delhi,495,1,4,New Property,Furnished,East,"Garden/Park, Main Road",2,1,1,Covered
2,3000000.0,new-delhi,400,2,3,Resale,Semi-Furnished,East,"Garden/Park, Main Road",1,1,1,Open
4,23600000.0,ahmedabad,1918,3,14,Resale,Unfurnished,East,Garden/Park,4,1,2,Covered
3,8400000.0,chandigarh,1500,4,4,Resale,Unfurnished,East,"Garden/Park, Main Road",3,3,1,Covered
3,9000000.0,greater-noida,1600,3,4,Resale,Furnished,North - East,"Garden/Park, Main Road",2,3,1,Open
3,17500000.0,new-delhi,1570,7,8,Resale,Unfurnished,North - West,"Garden/Park, Main Road",3,2,1,"Covered,"
3,15800000.0,new-delhi,1300,5,7,Resale,Semi-Furnished,East,Garden/Park,2,2,1,"Covered,"
4,18000000.0,gurgaon,1875,4,8,Resale,Furnished,South - East,"Garden/Park, Main Road",3,4,1,"Covered,"
3,11000000.0,nagpur,1000,3,4,Resale,Unfurnished,East,Garden/Park,3,1,1,Covered
3,9500000.0,ernakulam,1100,3,7,Resale,Semi-Furnished,East,Main Road,3,1,1,Covered
3,43000000.0,gurgaon,1701,17,27,New Property,Semi-Furnished,North - East,"Garden/Park, Pool, Main Road",4,3,2,"Covered,"
3,15800000.0,hyderabad,1323,1,10,New Property,Unfurnished,East,"Garden/Park, Main Road",3,1,2,"Covered,"
3,15800000.0,hyderabad,1323,1,10,New Property,Unfurnished,East,"Garden/Park, Main Road",3,1,2,"Covered,"
2,19800000.0,thane,850,14,29,Resale,Semi-Furnished,East,"Garden/Park, Main Road",2,2,1,Covered
4,43500000.0,new-delhi,2027,2,4,New Property,Semi-Furnished,East,Garden/Park,4,2,2,"Covered,"
3,5250000.0,faridabad,1220,1,4,Resale,Semi-Furnished,North,"Garden/Park, Pool, Main Road",2,2,1,"Covered,"
2,4500000.0,chennai,908,2,2,Resale,Semi-Furnished,South,Garden/Park,2,2,1,Covered
2,12000000.0,pune,882,3,7,Resale,Furnished,East,Main Road,2,1,1,Covered
3,17500000.0,new-delhi,1570,7,8,Resale,Unfurnished,North - West,"Garden/Park, Main Road",3,2,1,"Covered,"
3,17500000.0,gurgaon,1296,2,4,New Property,Semi-Furnished,East,"Garden/Park, Main Road",3,2,2,Covered
3,15700000.0,gurgaon,1600,3,10,New Property,Semi-Furnished,East,"Garden/Park, Main Road",4,2,1,"Covered,"
