Title(BHK),location,Carpet Area(sqft),Floor No.,Total Floors,Transaction,Furnishing,facing,overlooking,Bathroom,Balcony,Parking Spaces,Parking Type,Price
3,new-delhi,900,3,4,Resale,Semi-Furnished,North - West,Garden/Park,2,2,1,Covered,6000000.0
3,new-delhi,1400,4,8,Resale,Semi-Furnished,North - East,"Garden/Park, Main Road",2,4,1,"Covered,",21000000.0
3,new-delhi,1350,3,10,Resale,Semi-Furnished,East,"Garden/Park, Main Road",2,3,1,"Covered,",15600000.0
5,gurgaon,3000,1,4,Resale,Semi-Furnished,North - West,"Garden/Park, Main Road",4,4,3,Covered,35098000.0
3,new-delhi,1400,4,8,Resale,Semi-Furnished,North - East,"Garden/Park, Main Road",2,4,1,"Covered,",21000000.0
2,greater-noida,580,6,25,New Property,Unfurnished,East,"Garden/Park, Pool, Main Road",2,3,1,"Covered,",5400400.0
4,new-delhi,1950,8,10,Resale,Semi-Furnished,North - East,"Garden/Park, Main Road",3,4,1,"Covered,",26800000.0
3,new-delhi,1300,5,7,Resale,Semi-Furnished,East,Garden/Park,2,2,1,"Covered,",15800000.0
2,kolkata,875,4,6,Resale,Unfurnished,South - East,Garden/Park,2,1,1,Open,5304300.0
2,pune,737,10,14,Resale,Semi-Furnished,East,"Garden/Park, Pool",2,3,1,Open,7281900.0
2,hyderabad,233,2,5,New Property,Unfurnished,West,Main Road,2,2,1,Covered,6809999.999999999
3,faridabad,1850,1,4,New Property,Semi-Furnished,East,Main Road,3,2,1,"Covered,",10459102.12842713
3,gurgaon,1600,3,10,New Property,Semi-Furnished,East,"Garden/Park, Main Road",4,2,1,"Covered,",15700000.0
3,pune,1150,8,16,New Property,Unfurnished,East,Main Road,3,2,1,Covered,11955116.666666664
2,new-delhi,495,1,4,New Property,Furnished,East,"Garden/Park, Main Road",2,1,1,Covered,2300000.0
2,new-delhi,400,2,3,Resale,Semi-Furnished,East,"Garden/Park, Main Road",1,1,1,Open,3000000.0
4,ahmedabad,1918,3,14,Resale,Unfurnished,East,Garden/Park,4,1,2,Covered,22542000.0
3,chandigarh,1500,4,4,Resale,Unfurnished,East,"Garden/Park, Main Road",3,3,1,Covered,7985079.999999999
3,greater-noida,1600,3,4,Resale,Furnished,North - East,"Garden/Park, Main Road",2,3,1,Open,9625800.0
3,new-delhi,1570,7,8,Resale,Unfurnished,North - West,"Garden/Park, Main Road",3,2,1,"Covered,",17500000.0
3,new-delhi,1300,5,7,Resale,Semi-Furnished,East,Garden/Park,2,2,1,"Covered,",15800000.0
4,gurgaon,1875,4,8,Resale,Furnished,South - East,"Garden/Park, Main Road",3,4,1,"Covered,",18093000.0
3,nagpur,1000,3,4,Resale,Unfurnished,East,Garden/Park,3,1,1,Covered,9207250.0
3,ernakulam,1100,3,7,Resale,Semi-Furnished,East,Main Road,3,1,1,Covered,7106791.666666668
3,gurgaon,1701,17,27,New Property,Semi-Furnished,North - East,"Garden/Park, Pool, Main Road",4,3,2,"Covered,",43000000.0
3,hyderabad,1323,1,10,New Property,Unfurnished,East,"Garden/Park, Main Road",3,1,2,"Covered,",15800000.0
3,hyderabad,1323,1,10,New Property,Unfurnished,East,"Garden/Park, Main Road",3,1,2,"Covered,",15800000.0
2,thane,850,14,29,Resale,Semi-Furnished,East,"Garden/Park, Main Road",2,2,1,Covered,19647000.0
4,new-delhi,2027,2,4,New Property,Semi-Furnished,East,Garden/Park,4,2,2,"Covered,",43500000.0
3,faridabad,1220,1,4,Resale,Semi-Furnished,North,"Garden/Park, Pool, Main Road",2,2,1,"Covered,",5303460.0
2,chennai,908,2,2,Resale,Semi-Furnished,South,Garden/Park,2,2,1,Covered,4500000.0
2,pune,882,3,7,Resale,Furnished,East,Main Road,2,1,1,Covered,10180183.333333334
3,new-delhi,1570,7,8,Resale,Unfurnished,North - West,"Garden/Park, Main Road",3,2,1,"Covered,",17500000.0
3,gurgaon,1296,2,4,New Property,Semi-Furnished,East,"Garden/Park, Main Road",3,2,2,Covered,17500000.0
3,gurgaon,1600,3,10,New Property,Semi-Furnished,East,"Garden/Park, Main Road",4,2,1,"Covered,",15700000.0
2,bangalore,805,9,15,Resale,Unfurnished,North,Garden/Park,2,1,1,Covered,6400000.0
3,greater-noida,1400,3,3,New Property,Unfurnished,North - East,"Garden/Park, Main Road",3,3,1,Covered,10020700.0
4,gurgaon,2358,1,4,New Property,Semi-Furnished,North - East,"Pool, Garden/Park, Main Road",4,2,2,"Covered,",29000000.0
3,gurgaon,1300,5,13,New Property,Semi-Furnished,East,"Garden/Park, Pool, Main Road",3,3,1,"Covered,",16299999.999999998
3,chennai,1831,18,19,Resale,Unfurnished,North,"Pool, Main Road",3,3,1,Open,25000000.0
3,chandigarh,1210,3,10,New Property,Unfurnished,North - West,"Garden/Park, Pool, Main Road",3,3,1,Covered,7661190.476190475
2,bangalore,805,9,15,Resale,Unfurnished,North,Garden/Park,2,1,1,Covered,6400000.0
4,new-delhi,1950,8,10,Resale,Semi-Furnished,North - East,"Garden/Park, Main Road",3,4,1,"Covered,",26800000.0
3,jaipur,1086,3,6,New Property,Semi-Furnished,East,Main Road,3,2,1,Covered,4800000.0
3,gurgaon,1701,17,27,New Property,Semi-Furnished,North - East,"Garden/Park, Pool, Main Road",4,3,2,"Covered,",43000000.0
3,bangalore,900,10,14,Resale,Unfurnished,East,"Garden/Park, Main Road",2,2,1,Covered,8500000.0
3,chennai,1831,18,19,Resale,Unfurnished,North,"Pool, Main Road",3,3,1,Open,25000000.0
3,new-delhi,1570,7,8,Resale,Unfurnished,North - West,"Garden/Park, Main Road",3,2,1,"Covered,",17500000.0
4,gurgaon,2100,3,4,New Property,Semi-Furnished,East,"Garden/Park, Main Road",4,3,1,Covered,22590000.0
3,kochi,1134,6,18,Resale,Unfurnished,North - West,Garden/Park,3,1,1,Covered,9138266.666666666
3,bangalore,900,10,14,Resale,Unfurnished,East,"Garden/Park, Main Road",2,2,1,Covered,8500000.0
3,new-delhi,1500,4,8,Resale,Furnished,East,"Garden/Park, Main Road",3,3,2,Open,18900000.0
3,mohali,1150,2,11,New Property,Semi-Furnished,North - East,Garden/Park,4,3,1,"Covered,",15483100.0
2,bangalore,805,9,15,Resale,Unfurnished,North,Garden/Park,2,1,1,Covered,6400000.0
4,new-delhi,1950,8,10,Resale,Semi-Furnished,North - East,"Garden/Park, Main Road",3,4,1,"Covered,",26800000.0
